time,p_grid_feedin
01.01.2023 00:00,0.0
01.01.2023 00:15,0.0
01.01.2023 00:30,0.0
01.01.2023 00:45,0.0
01.01.2023 01:00,0.0
01.01.2023 01:15,0.0
01.01.2023 01:30,0.0
01.01.2023 01:45,0.0
01.01.2023 02:00,0.0
01.01.2023 02:15,1004644.9399118547
01.01.2023 02:30,0.0
01.01.2023 02:45,0.0
01.01.2023 03:00,0.0
01.01.2023 03:15,0.0
01.01.2023 03:30,0.0
01.01.2023 03:45,0.0
01.01.2023 04:00,0.0
01.01.2023 04:15,0.0
01.01.2023 04:30,0.0
01.01.2023 04:45,1005201.1509816936
01.01.2023 05:00,1005087.4535821319
01.01.2023 05:15,1004956.234607473
01.01.2023 05:30,0.0
01.01.2023 05:45,0.0
01.01.2023 06:00,0.0
01.01.2023 06:15,0.0
01.01.2023 06:30,0.0
01.01.2023 06:45,0.0
01.01.2023 07:00,0.0
01.01.2023 07:15,0.0
01.01.2023 07:30,0.0
01.01.2023 07:45,1005185.0213150643
01.01.2023 08:00,1005205.5221606821
01.01.2023 08:15,1005545.0161266993
01.01.2023 08:30,1005725.9248680312
01.01.2023 08:45,0.0
01.01.2023 09:00,0.0
01.01.2023 09:15,0.0
01.01.2023 09:30,0.0
01.01.2023 09:45,0.0
01.01.2023 10:00,0.0
01.01.2023 10:15,0.0
01.01.2023 10:30,0.0
01.01.2023 10:45,0.0
01.01.2023 11:00,1.3432832712934842e-10
01.01.2023 11:15,1.210722705233633e-10
01.01.2023 11:30,0.0
01.01.2023 11:45,0.0
01.01.2023 12:00,0.0
01.01.2023 12:15,0.0
01.01.2023 12:30,0.0
01.01.2023 12:45,0.0
01.01.2023 13:00,1005951.923226884
01.01.2023 13:15,0.0
01.01.2023 13:30,2.3283064365386963e-10
01.01.2023 13:45,0.0
01.01.2023 14:00,0.0
01.01.2023 14:15,0.0
01.01.2023 14:30,0.0
01.01.2023 14:45,0.0
01.01.2023 15:00,0.0
01.01.2023 15:15,0.0
01.01.2023 15:30,0.0
01.01.2023 15:45,0.0
01.01.2023 16:00,1007355.6553642914
01.01.2023 16:15,2.568160158391041e-10
01.01.2023 16:30,1007599.9885528504
01.01.2023 16:45,0.0
01.01.2023 17:00,1007395.1169509445
01.01.2023 17:15,1007178.5602146301
01.01.2023 17:30,1007070.9581046347
01.01.2023 17:45,0.0
01.01.2023 18:00,1.7772720887861518e-10
01.01.2023 18:15,0.0
01.01.2023 18:30,1007457.9985091663
01.01.2023 18:45,1007590.0764444594
01.01.2023 19:00,1008115.5511563675
01.01.2023 19:15,1007709.2050842803
01.01.2023 19:30,0.0
01.01.2023 19:45,1007680.6620397418
01.01.2023 20:00,1007843.0608674304
01.01.2023 20:15,1007987.4139829029
01.01.2023 20:30,1008596.3358643936
01.01.2023 20:45,1008425.4056675439
01.01.2023 21:00,1008336.5375683947
01.01.2023 21:15,1008179.8533521383
01.01.2023 21:30,1008430.0012887472
01.01.2023 21:45,1008192.8030728933
01.01.2023 22:00,0.0
01.01.2023 22:15,0.0
01.01.2023 22:30,0.0
01.01.2023 22:45,0.0
01.01.2023 23:00,0.0
01.01.2023 23:15,0.0
01.01.2023 23:30,0.0
01.01.2023 23:45,1008606.7646274071
02.01.2023 00:00,1008387.7006871318
02.01.2023 00:15,1008569.3291109595
02.01.2023 00:30,1007941.6104757386
02.01.2023 00:45,0.0
02.01.2023 01:00,0.0
