time;PCC
01.01.2023 00:00;0.0
01.01.2023 00:15;0.0
01.01.2023 00:30;0.0
01.01.2023 00:45;0.0
01.01.2023 01:00;0.0
01.01.2023 01:15;0.0
01.01.2023 01:30;0.0
01.01.2023 01:45;0.0
01.01.2023 02:00;0.0
01.01.2023 02:15;-1004644.9399118549
01.01.2023 02:30;0.0
01.01.2023 02:45;0.0
01.01.2023 03:00;0.0
01.01.2023 03:15;0.0
01.01.2023 03:30;0.0
01.01.2023 03:45;0.0
01.01.2023 04:00;0.0
01.01.2023 04:15;0.0
01.01.2023 04:30;0.0
01.01.2023 04:45;-1005201.1509816936
01.01.2023 05:00;-1005087.4535821318
01.01.2023 05:15;-1004956.234607473
01.01.2023 05:30;0.0
01.01.2023 05:45;0.0
01.01.2023 06:00;0.0
01.01.2023 06:15;0.0
01.01.2023 06:30;0.0
01.01.2023 06:45;0.0
01.01.2023 07:00;0.0
01.01.2023 07:15;0.0
01.01.2023 07:30;994594.3761994184
01.01.2023 07:45;-1005185.0213150645
01.01.2023 08:00;-1005205.5221606822
01.01.2023 08:15;-1005545.0161266994
01.01.2023 08:30;-1005725.9248680314
01.01.2023 08:45;0.0
01.01.2023 09:00;0.0
01.01.2023 09:15;0.0
01.01.2023 09:30;0.0
01.01.2023 09:45;0.0
01.01.2023 10:00;1028916.7159022364
01.01.2023 10:15;1036422.6403194238
01.01.2023 10:30;1044265.7403488192
01.01.2023 10:45;1052421.1252606185
01.01.2023 11:00;1061765.987843858
01.01.2023 11:15;1064241.963868217
01.01.2023 11:30;1066880.571574638
01.01.2023 11:45;1069695.9313308746
01.01.2023 12:00;0.0
01.01.2023 12:15;0.0
01.01.2023 12:30;0.0
01.01.2023 12:45;0.0
01.01.2023 13:00;-1005951.9232268843
01.01.2023 13:15;1105929.5462166532
01.01.2023 13:30;1160183.6678913655
01.01.2023 13:45;1213962.148029224
01.01.2023 14:00;1260512.257410431
01.01.2023 14:15;1203673.1964695817
01.01.2023 14:30;1153329.711991366
01.01.2023 14:45;0.0
01.01.2023 15:00;0.0
01.01.2023 15:15;0.0
01.01.2023 15:30;0.0
01.01.2023 15:45;992587.0145397575
01.01.2023 16:00;-1007355.6553642913
01.01.2023 16:15;992714.7507095946
01.01.2023 16:30;-1007599.9885528503
01.01.2023 16:45;-1006555.2356250298
01.01.2023 17:00;-1007395.1169509445
01.01.2023 17:15;-1007178.5602146301
01.01.2023 17:30;-1007070.9581046349
01.01.2023 17:45;992343.8766547672
01.01.2023 18:00;992332.3152874641
01.01.2023 18:15;992458.6227044802
01.01.2023 18:30;992542.0020827432
01.01.2023 18:45;-1007590.0764444596
01.01.2023 19:00;-1008115.5511563676
01.01.2023 19:15;-1007709.2050842801
01.01.2023 19:30;992689.5496507526
01.01.2023 19:45;-1007680.662039742
01.01.2023 20:00;-1007843.0608674302
01.01.2023 20:15;-1007987.4139829031
01.01.2023 20:30;-1008596.3358643935
01.01.2023 20:45;-1008425.4056675436
01.01.2023 21:00;-1008336.5375683947
01.01.2023 21:15;-1008179.8533521385
01.01.2023 21:30;-1008430.0012887472
01.01.2023 21:45;-1008192.8030728931
01.01.2023 22:00;991836.8617008042
01.01.2023 22:15;991934.9318037331
01.01.2023 22:30;0.0
01.01.2023 22:45;0.0
01.01.2023 23:00;0.0
01.01.2023 23:15;0.0
01.01.2023 23:30;991399.1288214274
